
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-04 06:30:00'   544.473    19.200  1400.000   800.000   337.500   366.556
'2015-07-04 06:45:00'   700.000    19.200  1400.000   825.760   337.500   334.790
'2015-07-04 07:00:00'   700.000    19.200  1400.000   811.696   337.500   323.000
'2015-07-04 07:15:00'   700.000    19.200  1400.000   974.268   337.500   304.015
'2015-07-04 07:30:00'   700.000    19.200  1400.000   982.873   337.500   259.728
'2015-07-04 07:45:00'   700.000    19.200  1400.000  1115.703   337.500   265.703
'2015-07-04 08:00:00'   700.000    19.200  1400.000  1327.694   337.500   230.000
'2015-07-04 08:15:00'   700.000    19.200  1520.000  1427.213   337.500   209.049
'2015-07-04 08:30:00'   700.000    19.200  1491.153  1385.479   337.500   215.819
'2015-07-04 08:45:00'   700.000    19.200  1514.813  1524.173   337.500   202.966
'2015-07-04 09:00:00'   700.000    19.200  1544.270  1520.000   337.500   179.000
'2015-07-04 09:15:00'   700.000    19.200  1603.750  1532.649   337.500   151.853
'2015-07-04 09:30:00'   700.000    19.200  1627.729  1520.000   337.500   171.127
'2015-07-04 09:45:00'   700.000    19.200  1676.560  1586.045   337.500   167.007
'2015-07-04 10:00:00'   700.000    19.200  1684.218  1561.017   337.500   143.000
'2015-07-04 10:15:00'   700.000    19.200  1682.005  1544.574   337.500   134.920
'2015-07-04 10:30:00'   700.000    19.200  1701.109  1609.498   337.500   102.996
'2015-07-04 10:45:00'   700.000    19.200  1674.427  1625.970   337.500    88.413
'2015-07-04 11:00:00'   700.000    19.200  1784.733  1632.058   337.500    68.000
'2015-07-04 11:15:00'   700.000    19.200  1717.795  1617.738   337.500    70.701
'2015-07-04 11:30:00'   700.000    19.200  1678.863  1609.406   337.500    75.377
