
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-03 21:45:00'   700.000    19.200  1400.000  1680.211   337.500   657.663
'2015-07-03 22:00:00'   700.000    19.200  1400.000  1462.042   337.500   717.000
'2015-07-03 22:15:00'   700.000    19.200  1400.000  1129.253   337.500   746.450
'2015-07-03 22:30:00'   700.000    19.200  1400.000  1146.552   337.500   744.131
'2015-07-03 22:45:00'   700.000    19.200  1400.000   918.273   337.500   771.357
'2015-07-03 23:00:00'   700.000    19.200  1400.000   819.574   337.500   780.000
'2015-07-03 23:15:00'   590.598    19.200  1400.000   800.000   337.500   778.731
'2015-07-03 23:30:00'   578.284    19.200  1400.000   800.000   337.500   752.437
'2015-07-03 23:45:00'   347.820    19.200  1400.000   800.000   337.500   809.513
'2015-07-04 00:00:00'   193.328    19.200  1400.000   800.000   337.500   810.000
'2015-07-04 00:15:00'   116.948    19.200  1400.000   800.000   337.500   817.367
'2015-07-04 00:30:00'   175.879    19.200  1400.000   800.000   337.500   810.056
'2015-07-04 00:45:00'   162.541    19.200  1400.000   800.000   337.500   779.434
'2015-07-04 01:00:00'   121.394    19.200  1400.000   800.000   337.500   787.000
'2015-07-04 01:15:00'   160.185    19.200  1400.000   800.000   337.500   746.646
'2015-07-04 01:30:00'    70.000    19.200  1400.000   800.000   337.500   739.982
'2015-07-04 01:45:00'   101.189    19.200  1400.000   800.000   337.500   700.934
'2015-07-04 02:00:00'    70.000    19.200  1400.000   800.000   337.500   699.000
'2015-07-04 02:15:00'   102.288    19.200  1400.000   800.000   337.500   635.938
'2015-07-04 02:30:00'    70.000    19.200  1400.000   800.000   337.500   689.924
'2015-07-04 02:45:00'    70.000    19.200  1400.000   800.000   337.500   627.230
'2015-07-04 03:00:00'    70.000    19.200  1400.000   800.000   337.500   598.000
'2015-07-04 03:15:00'    70.000    19.200  1400.000   800.000   337.500   565.588
'2015-07-04 03:30:00'    70.000    19.200  1400.000   800.000   337.500   561.192
'2015-07-04 03:45:00'    70.000    19.200  1400.000   800.000   337.500   530.841
'2015-07-04 04:00:00'    70.000    19.200  1400.000   800.000   337.500   510.000
'2015-07-04 04:15:00'    70.000    19.200  1400.000   800.000   337.500   498.436
'2015-07-04 04:30:00'    70.000    19.200  1400.000   800.000   337.500   467.598
'2015-07-04 04:45:00'    78.254    19.200  1400.000   800.000   337.500   447.321
'2015-07-04 05:00:00'    95.657    19.200  1400.000   800.000   337.500   433.000
'2015-07-04 05:15:00'    70.000    19.200  1400.000   800.000   337.500   435.822
'2015-07-04 05:30:00'   193.021    19.200  1400.000   800.000   337.500   408.282
'2015-07-04 05:45:00'   278.918    19.200  1400.000   800.000   337.500   418.362
'2015-07-04 06:00:00'   268.058    19.200  1400.000   800.000   337.500   403.000
'2015-07-04 06:15:00'   339.832    19.200  1400.000   800.000   337.500   376.316
'2015-07-04 06:30:00'   550.019    19.200  1400.000   800.000   337.500   345.200
'2015-07-04 06:45:00'   700.000    19.200  1400.000   801.030   337.500   340.438
'2015-07-04 07:00:00'   632.861    19.200  1400.000   800.000   337.500   323.000
'2015-07-04 07:15:00'   694.899    19.200  1400.000   800.000   337.500   302.066
'2015-07-04 07:30:00'   700.000    19.200  1400.000   973.049   337.500   279.928
'2015-07-04 07:45:00'   700.000    19.200  1400.000  1047.671   337.500   257.647
