
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 21:55:00'   400.000   383.000   400.000  1549.272  2108.491          
'2015-07-01 22:00:00'   400.000   383.000   400.000  1496.007  2154.000          
'2015-07-01 22:05:00'   400.000   383.000   400.000  1405.521  2197.194          
'2015-07-01 22:10:00'   400.000   383.000   400.000  1457.389  2099.339          
'2015-07-01 22:15:00'   400.000   383.000   400.000  1231.733  2214.047          
'2015-07-01 22:20:00'   400.000   383.000   400.000  1391.293  2099.335          
'2015-07-01 22:25:00'   400.000   383.000   400.000  1335.669  2190.837          
'2015-07-01 22:30:00'   400.000   383.000   400.000  1269.846  2185.047          
'2015-07-01 22:35:00'   400.000   383.000   400.000  1043.627  2193.756          
'2015-07-01 22:40:00'   400.000   383.000   400.000  1046.047  2215.498          
'2015-07-01 22:45:00'   400.000   383.000   400.000   921.834  2155.291          
'2015-07-01 22:50:00'   400.000   383.000   400.000   952.951  2198.466          
'2015-07-01 22:55:00'   400.000   383.000   400.000   909.979  2157.236          
'2015-07-01 23:00:00'   400.000   383.000   400.000   868.881  2177.000          
'2015-07-01 23:05:00'   400.000   383.000   400.000   832.742  2199.671          
'2015-07-01 23:10:00'   400.000   383.000   400.000   750.874  2193.589          
'2015-07-01 23:15:00'   400.000   383.000   400.000   866.155  2123.229          
'2015-07-01 23:20:00'   400.000   383.000   400.000   726.307  2082.703          
'2015-07-01 23:25:00'   400.000   383.000   400.000   874.734  2093.997          
'2015-07-01 23:30:00'   400.000   383.000   400.000   810.385  2114.474          
'2015-07-01 23:35:00'   400.000   383.000   400.000   837.671  2134.322          
'2015-07-01 23:40:00'   400.000   383.000   400.000   717.699  2039.697          
'2015-07-01 23:45:00'   400.000   383.000   400.000   663.661  2141.895          
'2015-07-01 23:50:00'   400.000   383.000   400.000   518.102  2100.563          
'2015-07-01 23:55:00'   400.000   383.000   400.000   632.555  2053.359          
'2015-07-02 00:00:00'   400.000   383.000   400.000   545.320  2000.000          
'2015-07-02 00:05:00'   400.000   383.000   400.000   609.654  2027.834          
'2015-07-02 00:10:00'   400.000   383.000   400.000   512.226  2030.220          
'2015-07-02 00:15:00'   400.000   383.000   400.000   588.151  1967.955          
'2015-07-02 00:20:00'   400.000   383.000   400.000   536.896  1906.653          
'2015-07-02 00:25:00'   400.000   383.000   400.000   752.818  1881.790          
'2015-07-02 00:30:00'   400.000   383.000   400.000   633.789  1895.071          
'2015-07-02 00:35:00'   400.000   383.000   400.000   715.537  1860.204          
'2015-07-02 00:40:00'   400.000   383.000   400.000   608.094  1898.072          
'2015-07-02 00:45:00'   400.000   383.000   400.000   604.812  1840.041          
'2015-07-02 00:50:00'   400.000   383.000   400.000   901.290  1776.939          
'2015-07-02 00:55:00'   400.000   383.000   400.000   701.152  1771.037          
'2015-07-02 01:00:00'   400.000   383.000   400.000   693.140  1793.000          
'2015-07-02 01:05:00'   400.000   383.000   400.000   714.789  1793.255          
'2015-07-02 01:10:00'   400.000   383.000   400.000   774.037  1762.783          
'2015-07-02 01:15:00'   400.000   383.000   400.000   744.499  1705.467          
'2015-07-02 01:20:00'   400.000   383.000   400.000   859.273  1704.512          
'2015-07-02 01:25:00'   400.000   383.000   400.000   770.159  1737.915          
'2015-07-02 01:30:00'   400.000   383.000   400.000   691.133  1714.657          
'2015-07-02 01:35:00'   400.000   383.000   400.000   695.879  1692.212          
'2015-07-02 01:40:00'   400.000   383.000   400.000   721.436  1675.768          
'2015-07-02 01:45:00'   400.000   383.000   400.000   688.781  1647.235          
'2015-07-02 01:50:00'   400.000   383.000   400.000   714.598  1660.328          
'2015-07-02 01:55:00'   400.000   383.000   400.000   721.910  1652.025          
'2015-07-02 02:00:00'   400.000   383.000   400.000   769.781  1598.000          
'2015-07-02 02:05:00'   400.000   383.000   400.000   716.451  1592.282          
'2015-07-02 02:10:00'   400.000   383.000   400.000   761.888  1575.054          
'2015-07-02 02:15:00'   400.000   383.000   400.000   781.480  1581.446          
'2015-07-02 02:20:00'   400.000   383.000   400.000   749.079  1569.848          
'2015-07-02 02:25:00'   400.000   383.000   400.000   854.976  1493.176          
'2015-07-02 02:30:00'   400.000   383.000   400.000   794.559  1497.613          
'2015-07-02 02:35:00'   400.000   383.000   400.000   703.574  1500.550          
'2015-07-02 02:40:00'   400.000   383.000   400.000   855.427  1476.808          
'2015-07-02 02:45:00'   400.000   383.000   400.000   915.456  1403.590          
'2015-07-02 02:50:00'   400.000   383.000   400.000   799.049  1441.898          
'2015-07-02 02:55:00'   400.000   383.000   400.000   718.623  1429.628          
'2015-07-02 03:00:00'   400.000   383.000   400.000   820.421  1429.000          
'2015-07-02 03:05:00'   400.000   383.000   400.000   848.507  1413.733          
'2015-07-02 03:10:00'   400.000   383.000   400.000   872.486  1375.562          
'2015-07-02 03:15:00'   400.000   383.000   400.000   876.942  1383.574          
'2015-07-02 03:20:00'   400.000   383.000   400.000   937.864  1290.336          
'2015-07-02 03:25:00'   400.000   383.000   400.000   871.409  1323.869          
'2015-07-02 03:30:00'   400.000   383.000   400.000   966.278  1302.498          
'2015-07-02 03:35:00'   400.000   383.000   400.000  1172.072  1257.356          
'2015-07-02 03:40:00'   400.000   383.000   400.000   985.789  1284.481          
'2015-07-02 03:45:00'   400.000   383.000   400.000  1057.427  1236.482          
'2015-07-02 03:50:00'   400.000   383.000   400.000  1197.236  1198.684          
'2015-07-02 03:55:00'   400.000   383.000   400.000  1112.507  1191.125          
'2015-07-02 04:00:00'   400.000   383.000   400.000  1148.601  1160.000          
'2015-07-02 04:05:00'   400.000   383.000   400.000  1073.334  1167.085          
'2015-07-02 04:10:00'   400.000   383.000   400.000  1066.604  1163.839          
'2015-07-02 04:15:00'   400.000   383.000   400.000  1253.341  1148.417          
'2015-07-02 04:20:00'   400.000   383.000   400.000  1312.463  1077.678          
'2015-07-02 04:25:00'   400.000   383.000   400.000  1361.306  1117.484          
'2015-07-02 04:30:00'   400.000   383.000   400.000  1455.221  1130.122          
